연구보고서명,발행일,연구책임자,보고서종류,국제표준도서번호,연구목적
[2018] 장애인 여가활동증진을 위한 국내외 여행실태 및 개선방안 연구,2018-06-30,유경민,정책연구,978-89-6921-285-6(93330),장애인 여행에 있어서의 제약요인  장애인의 여행경험  여행희망  만족도 등에 대해 살펴보고 장애인 전문 여행사의 운영실태를 파악하여 향후 장애인 여행의 문제점 및 개선방안을 제시하고자 함
[2018] 장애인거주시설 장애청소년 자립지원 강화방안 연구,2018-06-30,서해정,정책연구 ,978-89-6921-287-0(93330),거주시설의 장애청소년 입소와 퇴소 및 자립지원 서비스 제공 현황 파악과 정첵적 제언 제시
[2018] 중증장애인직업재활지원사업-장애인일자리사업 연계 방안,2018-06-30,이혜경,정책연구,978-89-6921-283-2(93330),장애인일자리사업 참여자의 진입단계에서부터 사업종료 이후까지의 일련의 과정을 보다 전문적인 직업재활서비스를 제공함으로써 장애인일자리사업 참여자의 고용의 질을 제고하고  이를 위해 중증장애인직업재활사업 및 기존 직업재활서비스 전달체계와의 연계방안을 모색하고자 함
[2018] 한국과 일본의 장애인차별금지 법제 비교연구,2018-06-30,서원선,정책연구,978-89-6921-282-5(93330),한국의 장애인차별금지법과 일본의 장애자차별해소법의 조문을 분석하여 법적 내용과 관련된 정책적 및 제도적 특성이나 방향을 조사하여 제언하고자 함
[2018] 장루·요루 장애인의 복지욕구 및 정책방향,2018-06-30,조상은,정책연구,978-89-6921-284-9(93330),소수장애유형에 포함되는 장루·요루 장애인의 복지욕구가 다양한 영역에서 나타나고 있음에도 정책적 지원으로 연계되지 못하고 있는 상황임. 이에 장루·요루 장애인의 복지욕구를 파악하고 정책과제로 연결시킴으로써 향후 구체적인 지원정책 수립을 위한 기초자료로 활용하고자 함.
[2018] 장애인 지원서비스 품질관리 방안 연구,2018-06-30,강정배,정책연구,978-89-6921-289-4(93330),장애인 지원서비스 품질관리의 기초가 되는 품질지표 개발 관련 제언 제시
[2018] 장애인패널 예비조사,2018-05-31,강정배,정책연구,978-89-6921-281-8(93330),장애 발생에 따른 장애수용 과정과 사회관계 속에서 겪는 변화에 대해서 개인가족사회적 요인의 동태를 파악 하여  정책적으로 활용할 수 있는 기초자료를 확보하는데 그 목적이 있음
[2018] 장애인등의 이용이 가능한 화장실 개선 방향 연구,2018-04-13,류상오,편의증진,978-89-6921-279-5 93500,「장애인등편의법」 하위법령 개정에 따른 장애인화장실 유효바닥면적에 대해 실험조사와 현장조사를 통해 법적 기준에 대한 검증 및 방향성을 제시
[2018] 2017 KODDI 연구요약집(영문번역),2018-03-16,각 연구과제별 책임연구자,연구요약집,978-89-6921-278-8(93330),본원에서 2017년 한해 동안 수행한 연구보고서의 요약집을 영문번역함
[2018] 2017 KODDI 연구요약집,2018-02-28,각 과제별 책임연구자,자료,978-89-6921-276-4(93330),본 원에서 2017년 한해 동안 수행한 연구보고서의 요약
[2017] 서울시 저소득 장애인 주거편의지원사업,2017-12-31,김인순,편의증진,978-89-6921-267-2,본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 담은 것으로 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함
[2017] 2017 장애인백서,2017-12-31,김정희,정책연구,978-89-6921-273-3(93330),현재 진행되고 있는 장애인정책을 재조명하고 장애인복지 업무 및 정책 등을 체계적으로 종합할 수 있는 자료 제공을 목적으로 함
[2017] 장애물 없는 생활환경 인증제도 지표개선 방안 연구,2017-12-31,김인순,편의증진,978-89-6921-266-5(93500),장애물 없는 생활환경 인증제도(여객시설)의 현황 분석을 통해 평가지표에 관한 세부적인 검증과 개선방안을 제시함
[2017] 2017 장애통계연보,2017-12-22,이수용,정책연구,978-89-6921-268-9(93330),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2017] 중증장애인 직업재활지원사업 평가체계 및 적정기준안 연구,2017-12-22,김민,정책연구,978-89-6921-265-8(93330),본 연구는 직업재활센터  직업평가센터  장애인단체  직업재활시설  직업능력개발 훈련기관을 중심으로 지원사업 평가체계를 개선하고 관련된 지표들의 적정기준안에 대해 제안함
[2017] 장애인일자리사업 종합평가 연구,2017-12-15,한신대학교 이인재 교수,위탁연구보고서,978-89-6921-271-9(93330),장애인일자리사업의 종합적인 성과분석을 통한 향후 발전방안 모색
[2017] 시청각중복장애인(Deaf-Blind)의 욕구 및 실태조사 연구,2017-10-31,서해정,정책연구,978-89-6921-262-7(93330),시청각중복장애인의 욕구와 생활실태 파악 및 제도개선 방안 제안
[2017] 척수장애인재활지원센터의 기능과 역할정립 연구,2017-10-31,서해정,정책연구,978-89-6921-254-2(93330),척수장애인재활지원센터의 기능 및 역할을 재정립하여 새로운 기능전환 안을 제시함
[2017] 장애인 가족지원 사업기관 운영방안 연구,2017-10-31,강정배,정책연구,978-89-6921-263-4(93330),장애인 가족지원 사업기관 운영방안을 제시함
[2017] 고령장애인 욕구조사 및 중장기 정책방향,2017-10-31,조상은,정책연구,978-89-6921-259-7(93330),고령장애인의 욕구와 가족돌봄제공자의 욕구를 파악하고 그에 따른 중장기 정책 방향을 제시함
[2017] 장애포괄적 재난위기관리 매뉴얼 및 지원체계 연구,2017-10-31,강정배,정책연구,978-89-6921-253-5(93330),장애인 재난 대응 매뉴얼 개발 및 지원체계 구축
[2017] 시각장애인의 직업재활을 위한 제도 개선 연구,2017-10-31,서원선,정책연구,978-89-6921-255-9(93330),시각장애인의 현행 직업재활 서비스 문제점을 분석하고 개선점을 도출함
[2017] 장애인 및 장애인 가족의 자살 예방을 위한 제도 개선 연구,2017-10-31,서원선,정책연구,978-89-6921-256-6(93330),장애인 및 장애인 가족의 자살 예방을 위한 보편적  선택적  집중적 중재방법 제시
[2017] 이용자 선택권 향상을 위한 장애인복지서비스 유연화 방안 연구,2017-10-31,이호선,정책연구,978-89-6921-252-8(93330),국외 장애인복지서비스의 유연화 현황을 분석하여 국내 장애인복지서비스의 유연화 방안을 제시함
[2017] 장애인지제도 도입 및 운영방안 연구,2017-10-31,이혜경,정책연구,978-89-6921-258-0(93330) ,장애인지적 관점에서의 정책과 계획의 수립  추진 필요성을 다시한번 확인하고  유사제도인 성인지제도와 장애인지제도 선행연구 분석  관련 전문가들의 의견조사를 종합하여 장애인지예산 및 장애영향평가 도입과 실행을 위한 추진 방향과 구체적 실행방안을 제시
[2017] ICF 기반의 장애사정체계 활용방안을 위한 기초연구: 해외사례를 중심으로,2017-10-31,조상은,정책연구,978-89-6921-258-0(93330) ,해외사례를 통한 ICF의 국내 활용방안에 대한 제언 제시
[2017] 정신장애인 직업재활서비스 개선방안 연구,2017-10-31,김민,정책연구,978-89-6921-246-7(93300),기존의 정신보건 서비스 전달체계 내에서 정신장애인 직업재활서비스의 발전 방향과 직업재활 수요-공급간 격차를 알아보고  격차를 해소하기 위한 정책방안을 마련하고자 함
[2017] 장애인 주거권 보장을 위한 주거권 지표개발 및 정책방안 연구,2017-10-31,이호선,정책연구,978-89-6921-261-0(93330),장애인 주거권 지표를 개발하여 이를 토대로 장애인 정책방향 및 방안을 제시함
[2017] 여성장애인 권리보장을 위한 법안 연구,2017-09-30,서해정,정책연구,978-89-6921-248-1,여성장애인지원법 제정의 타당성 및 쟁점 검토
[2017] 피해장애인 쉼터 설치 및 운영에 관한 연구,2017-09-30,유경민 ,정책연구,978-89-6921-249-8,장애인복지법 하위법령 개정안 마련 및 피해장애인 쉼터 운영매뉴얼을 개발하여  장애인 쉼터 기능 및 역할정립 하고 운영 내실화에 기여하고자 함
[2017] 기초생활수급 장애인을 위한 근로유인 해외 제도 분석 연구,2017-09-30,서원선,정책연구,978-89-6921-245-0(93330),기초생활수급 장애인을 위한 적절한 노동유인에 대한 해외제도 분석
[2017] 장애분야 공공부문 일자리 창출 연구  - 의무고용 적용제외 직종을 중심으로 -,2017-09-30,이수용,정책연구,978-89-6921-251-1,주요 의무고용 제외  직종을 중심으로 장애인 채용의 의미와 정당성에 관해 고찰함
[2017] 새 정부 장애인정책 주요 공약 분석,2017-09-30,이호선,정책연구,978-89-6921-250-4,새 정부 장애인정책 공약을 분석함으로써 새 정부 장애인정책 방향을 검토하여 바람직한 국정운영 방향을 제언하고자 함
[2017] 장애등급제 폐지 이후의 추진과제 및 정책방향,2017-09-30,조상은,정책연구,978-89-6921-247-4(93300),장애등급제 폐지와 관련하여 핵심쟁점과 추진실적현황을 살펴보고 그 이후 추진과제 및 정책방향을 제시하는데 주 목적을 둠
[2017] 장애인직업재활시설 재무회계 규칙 개선 연구,2017-08-31,이수용,정책연구,978-89-6921-244-3 ,현행 직업재활시설에서 이루어지는 재무회계의 실태를 파악하고 회계의 투명성과 효율화를 제고하기 위한 개선방안을 제시하는데 있음
[2017] 2016 KODDI 연구요약집(영문번역),2017-06-16,각 연구과제별 책임자,연구요약집,978-89-6921-242-9(93330),본원에서 2016년 한해동안 수행한 연구보고서의 요약집을 영문 번역함
[2017] 2016 KODDI 연구요약집,2017-03-17,각 과제별 책임연구자,정책연구,978-89-6921-240-5(93330),본 원에서 2016년 한해 동안 수행한 연구보고서의 요약집
[2016] 장애분야 국제개발협력 확대 방안 연구,2016-12-31,서원선,정책연구,978-89-6921-235-1(93330),인천전략 목표 10과 국제개발협력의 이념에 기초해 장애분야 국제개발협력 사업의 중요성을 인지하여 장애분야 국제개발협력 사업을 촉진할 수 있는 방법을 연구함.
[2016] 장애인 자살 예방을 위한 사례연구,2016-12-31,서원선,정책연구,978-89-6921-233-7,장애인 또는 장애인 가족 중 자살에 대한 경험이 있는 가구를 대상으로 심층적인 질적연구를 실시하여 실태를 파악하고  이를 통해 자살의 원인을 분석함으로써 대응 방안을 마련하고자 함.
[2016] 숙박시설의 유니버설디자인 적용을 통한 이용 활성화 방안 연구,2016-12-31,김인순,편의증진,978-89-6921-230-6,본 연구에서는 가능한 한 많은 사람이 숙박시설을 이용하는데 불편함이 없도록 하고  숙박시설에 유니버설디자인 요소 적용을 통하여 이용 활성화 방안을 제시하는 것을 목적으로 함
[2016] 장애인 재활체육 서비스체계 개선방안 연구,2016-12-31,서해정,정책연구,978-89-6921-238-2,정책연구
[2016] 서울시 저소득 장애인 주거편의지원사업,2016-12-31,김인순,편의증진,978-89-6921-228-3,본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 담은 것으로 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함
[2016] 2016 중증장애인생산품 생산시설 실태조사,2016-12-31,고귀염,직업재활,978-89-6921-231-3(93330), 중증장애인생산품 생산시설 실태조사를 통해 생산시설 운영 및 생산품 판매 등의 객관적  종합적인 현황과 욕구 파악
[2016] 장애인일자리사업 평가체계 구축 연구,2016-12-31,김민,정책연구,978-89-6921-227-6(93330),취업취약계층인 장애인들에게 근로기회를 제공하고 가계수입에 도움이 되고  민간고용으로 성공적으로 전이가능하고  독립적인 생활을 유지하는 것을 목표로 하는 장애인일자리사업을  평가할 수 있는 지표를 제시하고 평가체계를 구축하는 것임.
[2016] 문화·예술에서의 장애차별 예방 매뉴얼,2016-12-31,최승철,정책연구,978-89-6921-234-4(93330),장애인이 문화·예술활동에 참여할 때 발생할 수 있는 차별이 무엇인지  문화·예술사업자는 장애인 고객에 대한 차별을 피하기 위해서 무엇을 해야 하는지에 대해 구체적이고 실용적인 지침을 제시함으로써 문화·예술활동 영역에서 장애인에 대한 차별을 금지하고 예방하는 데 기여하고자 함.
[2016] 장애인복지 패널 구축 연구,2016-12-31,강정배,정책연구,978-89-6921-236-8,장애인복지 패널 본조사에 앞서 조사표 구성 및 로드맵 구축
[2016] 장애인 편의시설 상세표준도,2016-12-31,김인순,편의증진,978-89-6921-322-8,장애인등편의법 제14조제2항에 따라 편의시설 상세표준도를 작성하여 보급함. 건축물에 대한 편의시설 상세표준도는 해당 편의시설에 관한 건축법 제23조제4항에 따른 표준설계도서로 봄.
[2016] 2016 장애통계연보,2016-12-30,조윤화,정책연구,978-89-6921-237-5,장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2016] 중증장애인직업재활사업 예산지급 가이드라인 개발 연구 - 장애인직업재활시설을 중심으로,2016-12-30,이혜경,정책연구,978-89-6921-229-0 ,장애인직업재활시설의 예산지급 기준 개선방안 제시
[2016] 중증장애인직업재활지원사업의 효율성 분석 및 발전 방안,2016-12-10,우주형 교수,연구보고서,978-89-6921-223-8(93330),중증장애인직업재활지원사업의 효율성을 수행기관 유형별  사업별로 비교 분석하고 중증지원사업의 차별성과 발전 방안을 제시하여 새로운 변화를 모색하고자 함.
[2016] 학대피해장애아동 서비스지원체계 마련 연구,2016-11-30,서해정,정책연구,978-89-6921-224-5,장애아동에 대한 학대피해 현황을 파악하고 아동학대 방지 및 피해자 지원 서비스 체계에서 장애아동에 대한 지원에 있어서 문제점을 파악하고  이에 대한 개선방안을 제안하고자 함
[2016] 여성장애인 모성권 증진을 위한 임신  출산 지원 정책 연구,2016-11-30,서해정,정책연구,978-89-6921-225-2,여성장애인 모성권 증진을 위한 정책 개발
[2016] 장애포괄적 재난위기관리 매뉴얼 개발 연구 - 청각장애인을 중심으로 -,2016-11-30,김승완,정책연구,978-89-6921-226-9,재난발생으로 인한 안전욕구가 증가함에 따라 청각장애인이 재난 약자가 되지 않도록 표준화된 매뉴얼을 개발하는 데 목적을 둠.
[2016] 전동보장구 충전소 운영 효율화 방안 연구,2016-10-31,강정배,정책연구,978-89-6921-220-7(93300),전동보장구 충전소 설치 기준 및 운영 방안 마련
[2016] 장애인 보조기기 지원 및 활성화 방안 연구,2016-10-31,강정배,정책연구,978-89-6921-210-1(93300),2016년 12월 말 시행될 보조기기법에 기반하여 장애인 개개인에게 맞는 보조기기 지원방안 마련
[2016] 2015 KODDI 연구요약집(영문번역),2016-08-31,과제별 책임자,연구요약집,978-89-6921-218-4,본원에서 2015년 한해동안 수행한 연구보고서의 요약집을 영문번역함.
[2016] 장애인복지법 개정에 따른 시행령 및 시행규칙 개정 연구,2016-06-30,서원선,정책연구,978-89-6921-217-7,장애 인식개선 교육 및 시험편의 제공과 관련한 「장애인복지법」 개정에 따른 하위 시행령 및 시행규칙 개정을 위해 장애 전문가  장애 당사자  장애 단체 종사자들의 구체적인 의견을 조사하여 「장애인복지법」시행령 및 시행규칙 개정 방향을 제시하고자 함.
[2016] 2015 KODDI 연구요약집(국문),2016-04-29,과제별 책임자,연구요약집,978-89-6921-215-3 ,본원에서 2015년 한해동안 수행한 연구보고서의 요약집
[2015] 체육에서의 장애차별 예방 매뉴얼,2015-12-31,김승완 ,정책연구,978-89-6921-195-8,본 매뉴얼은 체육 영역에서 발생할 소지가 있는 장애차별이 무엇인지 지침 형태로 간략히 제시하고 이에 대한 이해를 돕는 구체적인 사례를 설명함으로써 이해 당사자들에게 장애차별에 대한 인식을 제고하고 장애차별 예방에 기여하고자 함
[2015] 농어촌 장애인 주택개조지원사업,2015-12-31,김인순,편의증진,978-89-6921-201-6,본 보고서는 한국장애인개발원이 보건복지부와 함께 전문기술자문단을 구성하여 15개 시·도에서 시행하는 주택개조 지원 사업의 대상가구를 직접 방문하여 대상자의 장애유형 및 실내생활특성 등을 종합적으로 고려하여 맞춤형 주택개조가 이루어 질 수 있도록 기술자문을 실시한 내용을 담은 것으로 저비용 고효율의 장애인 주택개조 수준향상에 기여하고자 함
[2015] 2015 장애인백서,2015-12-31,나영희,정책연구,978-89-6921-207-8(93330),현재 진행되고 있는 장애인정책을 재조명하고 장애인복지 업무 및 정책 등을 체계적으로 종합할 수 있는 자료 제공을 목적으로 함.
[2015] 장애인 직업재활 활성화를 위한 자격기준 연구,2015-12-31,이혜경,정책연구,978-89-6921-210-8(93330),직업재활 전문인력의 국가자격화 필요성을 검토하고  직업재활 전문가의 역할과 기능을 재정립하여  국가자격 도입 이후의 전문가 양성 및 관리 방안  직업재활 전문가의 배치기준 등을 모색하고자 함
[2015] 2015 장애통계연보,2015-12-31,조윤화,정책연구,978-89-6921-212-2,장애인 관련 주요 통계를 수집 및 분석함으로써  우리나라 장애인의 복지수준과 장애인 권리가 향상되고 있는지를 파악하고  향후 장애인 정책을 모니터링하기 위한 기본적인 자료를 구축하고자 함
[2015] 서울시 저소득 장애인 주거편의지원사업,2015-12-31,김인순,편의증진,978-89-6921-202-3,본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 담은 것으로 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함
[2015] Barrier-Free 공원 인증지표 개선을 위한 연구,2015-12-31,김인순,편의증진,978-89-6921-203-0,본 연구에서는 기존의 BF 공원인증 지표를 실제 공원의 사례를 중심으로 분석하여 보다 합리적인 공원인증 지표 개선방안을 제시함으로써 공원 BF인증 활성화에 기여하고자 함
[2015] 장애인 고용 사회적기업 사례 연구,2015-12-31,김승완,정책연구,978-89-6921-209-2(93330),본 연구는 장애인 고용 사회적기업의 국내외 우수사례를 살펴봄으로써 중증장애인 고용의 대안이 될 수 있는 방안을 모색하고자 함. 아울러 이러한 성공사례에서 드러난 시사점을 바탕으로 중증장애인 고용 사회적기업의 방향성을 제시하고자 함.
[2015] 장애인감면할인서비스 지원기준 현황과 개선방안 연구,2015-12-31,조윤화,정책연구,978-89-6921-211-5(93330),장애등급제 폐지를 기반으로 우리나라 장애인 감면할인서비스의 가치와 원리를 새롭게 정립하고  서비스 목적에 따른 대상자 선정 기준 및 방식을 도출하고자 함
[2015] 장애인자립생활센터의 평가체계 개발 연구,2015-12-30,서해정,정책연구,978-89-6921-213-9(93330),장애인자립생활센터 사업의 성과를 드러낼 수 있도록 양적인 핵심성과 지표와 질적평가  이용자 평가 등 성과평가 체계를 개발하고자 함. 
[2015] 해외선진사례를 통한 직업재활센터 확충방안,2015-12-30,변경희,연구,978-89-6921-198-9(93330),미국의 선진적인 직업재활체계를 조사하여 우리나라의 시사점을 도출하고 직업재활센터 확대에 있어 적용점을 모색하는데 목적이 있다
[2015] 중증장애인 자립생활 지원체계 강화방안 연구,2015-12-30,서해정,정책연구,978-89-6921-214-6(93330),정부 및 민간 전달체계에서의 자립생활지원 정책과 사업 등의 현황을 분석하고 자립생활센터 관계자와 센터를 이용하고 있는 당사자의 의견수렴을 통해 정부의 중증장애인 자립생활지원 정책 수립의 방향과 로드맵을 제시하고  자립생활센터의 역할과 기능을 제안하고자 함. 
[2015] 직업재활시설 기능보강사업 현황과 개선방안,2015-12-18,이혜경,정책연구,978-89-6921-200-9(93330),보건복지부에서는 직업재활시설의 신축  증축  개보수공사  장비보강환경 개선과 기능 보강을 지원하기 위해 매년 기능보강사업을 실시하고 있음. 그러나 기능보강사업 지원금이 적절하게 집행되었는지에 대한 지도·감독 등 관리체계가 미비한 실정임. 따라서 기능보강사업에 대한 현황 분석을 통해 향후 기능보강사업의 개선방안을 마련하고자 함.
[2015] 현장수요연구-작업지도원으로 어머니가 참여하는 전환기 발달장애인 일터개발 연구,2015-12-18,로뎀직업재활센터 정신모,위탁연구,978-89-6921-197-2,발달장애인 취업 확대에 관한 선행연구의 미흡한 점을 보완하기 위해 장애인직업재활시설의 소독·방역  상주 청소의 서비스 직종을 개발해 전환기 발달장애인을 채용한 뒤 발달장애인의 어머니를 작업지도원으로 함께 고용해 직업 훈련 및 적응 과정을 도움으로써 발달장애인의 어머니가 작업지도원으로서 효과적으로 역할을 수행할 수 있는지 탐색하고 투입효과성을 입증하는 데 목적이 있음
[2015] 장애인구 추이 분석 및 장기 추계 전망을 위한 기초연구,2015-11-30,조윤화,정책연구,978-89-6921-196-5(93330),장애인구 변화에 따른 인구통계학적 분석과 다양한 분석방법을 이용한 장애인구 추계를 통해  장애인복지정책의 기초자료 및 장애인구 추계의 기초연구로 활용하는 것을 목적으로 함
[2015] 장애인활동지원제도 사후관리 평가 연구,2015-11-30,김경란,정책연구,978-89-6921-195-8(93330) ,장애인활동지원제도 사후관리 평가를 통해 제도의 효과성을 제고하고 개선방안을 제시하여 활동지원제도의 내실화를 마련함으로써 장애인의 자립생활을 향상시키는 것을 목적으로 함
[2015] 장애포괄적 재난관리체계 구축을 위한 기초 연구,2015-11-30,김승완,정책연구,978-89-6921-194-1(93330),본 연구는 인위적 재난과 자연적 재해 같은 국가 위기 상황에서 장애인을 고려하지 않은 현 국가위기관리 대응체계의 문제점을 살펴보고  장애포괄적 재난관리체계를 구축하기 위한 방안을 마련하는데 연구의 목적이 있음.
[2015] 2014 KODDI Policy Studies Overview on Disability,2015-09-30,나영희,2014 KODDI Policy Studies Overview on Disability,데이터 미집계,2014년에 정책연구실에서 수행한 24개 연구의 영문보고서를 발간하여 국외에 주요내용을 소개하고자 함
[2015] 장애인 권리보장에 관한 국제인권규범 연구,2015-05-31,전지혜,정책연구,978-89-6921-188-0(93330),장애인 권리보장에 관한 국제규범들의 등장배경을 살펴보고 5대 국제인권규범과 장애 특정적 국제인권규범에서의 장애인 권리보장을 분석하여 국제사회 인권규범의 흐름을 알아보았고  장애인의 권리보장을 위한 국제인권규범의 확장과 상후수용관계를 분석하여 앞으로의 장애인 권리보장을 위한 인권규범의 동향에 관하여 논의함
[2015] 중증장애인자립생활지원센터 현장 모니터링 보고서,2015-04-30,서해정,정책연구,978-89-6921-187-3(93330) ,본 연구는 중증장애인의 자립생활 역량강화와 지역사회에서의 다양한 사회참여 활동을 지원하는 자립생활센터의 현장 모니터링을 통해 운영실태를 파악하여 자립생활센터의 역할과 기능을 발전시킬 수 있는 방안을 모색하고자 수행됨
[2015] 2014 KODDI 연구요약집,2015-04-28,과제별 책임자,연구요약집,978-89-6921-186-6,본원에서 2014년 한해동안 수행한 연구보고서의 요약집
[2014] 농어촌 장애인주택개조사업 ,2014-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2014] 서울시 저소득 장애인 주거환경개선사업,2014-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2014] 고용에서의 장애차별 예방 매뉴얼,2014-12-31,최승철,정책연구,978-89-6921-179-8(93330),고용에서의 장애차별에 대한 사용자  장애를 가진 근로자 및 채용 지원자  다른 근로자 등의 인식 및 이해의 정도를 높이고 이를 통해 장애차별을 예방하며 고용에서 장애인이 자신의 권리를 주장하는 데 기여하는 것을 목적으로 함.
[2014] 시설유형별 장애인 편의시설 설치 등급 설정에 관한 연구,2014-12-31,김인순,연구보고서,978-89-6921-178-1,본 연구는 장애인 등의 시설이용약자가 일정 시설물을 이용하고자 할 때에 해당시설물의 기존 설치율 정보가 아닌 설치수준 정보로 변경할 수 있는 지표를 제시함으로써 개별시설물의 시설 이용수준을 좀 더 용이하게 파악할 수 있도록 하고자 함
[2014] 발달장애인 자조집단 사례분석 연구,2014-12-31,최복천,정책연구,978-89-6921-180-4(93330),국내 발달장애인 자조집단의 현황을 분석하고 발달장애인 자조집단의 발전적 토대 마련을 위한 지원방안을 모색하고자 함
[2014] 비장애 형제자매 실태조사 및 지원방안 연구,2014-12-31,최복천,정책,978-89-6921-183-5(93330),본 연구는 비장애 형제자매의 생애전반에 걸친 생활에서의 어려움 및 욕구를 살펴보고  비장애 형제자매에게 실질적인 지원이 이루어질 수 있는 정책방안을 도출하고자 수행되었다. 
[2014] EU 및 OECD 국가 장애인복지지표 연구,2014-12-31,조윤화,정책연구보고서,978-89-6921-184-2(93330),우리나라 장애인복지수준을 진단하고 장애인복지정책 수립의 방향에 기초자료 제공하는데 목적을 둠
[2014] 장애아 부모지원 가이드북 개발 연구,2014-12-31,조윤경,정책,978-89-6921-182-8(93330),본 매뉴얼은 장애아 부모를 상담하거나 대면할 수 있는 종사자들에게 실질적인 가이드라인을 제공하여 장애아 부모지원의 내용과 질을 향상시키고자 연구되었다.
[2014] 인천전략 지표 측정 데이터 구축 연구,2014-12-31,최승철,정책연구,978-89-6921-171-2(93330),본 연구는 인천전략 측정 지표별로 측정을 위한 데이터의 국내 보유 여부를 확인하여 보유한 데이터에 대해서는 해당 데이터를 이용한 지표 측정 방안을 제시하고  보유하지 않은 데이터에 대해서는 해당 데이터를 구축하는 방안을 제시함으로써 국가행동계획의 방향을 모색하는 차원에서 수행됨
[2014] 장애인자립자금대여사업 개선방안 연구,2014-12-31,박주영,정책연구,978-89-6921-173-6(93330),장애인의 자립과 생활안정을 위해 실시되는 장애인자립자금대여사업의 현황과 효과성을 분석하여 자립자금사업의 효과적인 운영방안 제시
[2014] 주요 선진국과 한국의 장애인 중장기정책계획 분석 연구,2014-12-26,김승완,정책연구,978-89-6921-174-3(93330)  ,본 연구는 주요 선진국의 장애인 중장기정책계획 사례를 RBA 접근방법을 통해 분석하여 시사점을 도출하고  이에 근거하여 우리나라 제4차 장애인정책종합계획을 크게 수립 과정  프레임워크  주요 내용 측면에서 분석하여 향후 계획에 반영되어야 할 사항을 제시하고자 함. 
[2014] 자립생활센터 운영실태조사 및 지원방안 연구,2014-12-19,서해정,정책연구,978-89-6921-172-9(93330),해외 선진국의 장애인자립생활운동 및 센터의 현황을 검토하고  전국 IL센터 조직 및 사업의 실태를 파악하여 이를 근거로 센터의 지원방안을 제안
[2014] 직업재활시설 실태조사 및 운영개선 연구,2014-12-12,이혜경,정책연구,978-89-6921-166-8(93330),장애인 직업재활시설 운영현황 등 구체적인 자료 축적을 통해 직업재활시설 운영지원과 정책개선을 위한 기초자료로 활용될 수 있는 기반을 마련하고자 함.
[2014] 정신장애인 지역사회통합 지원방안 연구,2014-11-30,조윤화,정책연구,978-89-6921-163-7(93330),정신장애인의 지역사회통합을 위한 지원방안 모색
[2014] 중증장애인생산품 우선구매제도 실효성 확보방안 연구,2014-11-30,이혜경,정책연구,978-89-6921-164-4(93330),국내·외에서 실시되고 있는 다양한 우선구매제도에 대한 분석과 공공기관 경영성과 평가지표의 개선안 제시 등을 통해 중증장애인생산품 우선구매제도의 실효성을 제고하고자 함.
[2014] 정부 부문 취업 중증 시각장애인의 고용안정 영향 요인 연구,2014-11-28,조성재(대구대학교 직업재활학과 교수),위탁연구,978-89-6921-165-1,연구의 목적은 중앙정부  지방자치단체  각 급 학교(맹학교는 제외) 등에 취업하여 근무하는 중증 시각장애인(시각장애 1∼4급)들의 취업안정성 향상 요인을 파악하는 데에 있다.
[2014] 활동보조인의 교육과정 개선에 관한 연구,2014-11-14,나영희,정책연구보고서,978-89-6921-161-3(93330),활동보조인의 교육과정 개선안 제시
[2014] 장애인 인식개선 가이드,2014-10-31,전동일,정책연구,978-89-6921-158-3(93330),본 가이드는 공무원들을 대상으로 장애인의 특성에 대해 설명하고  장애인 관련 법령에 근거하여 장애인 민원인에게 제공해야 하는 편의에 대해 설명하는 것이 목적임
[2014] 장애인거주시설 인권매뉴얼,2014-10-31,전동일,정책연구,978-89-6921-159-0(93330),본 매뉴얼은 장애인거주시설 종사자에게 부여된 의무교육의 내용과 더불어 인권 침해의 기준이 제시된 장애인 인권침해 예방 및 인권보장 교재를 개발하는데 목적이 있음.
